xpath,type,status,NextFrame,PreviousFrame,ElementImage,ElementText,CallerActivity,Tag,Operation
//android.widget.ImageButton,ImageButton,Complete,,SystemFragment,C:/Experimental/src/rsc/images/HumidifierFragment_0,,ThermostatSettingsActivity,,
//android.widget.RadioButton[@text= 'On'],RadioButton,Complete,,SystemFragment,C:/Experimental/src/rsc/images/HumidifierFragment_1,On,ThermostatSettingsActivity,Dynamic,NetworkCall
//android.widget.RadioButton[@text= 'Off'],RadioButton,Complete,,SystemFragment,C:/Experimental/src/rsc/images/HumidifierFragment_2,Off,ThermostatSettingsActivity,Dynamic,NetworkCall
//android.widget.RadioButton[@text= 'Frost Control'],RadioButton,Complete,,SystemFragment,C:/Experimental/src/rsc/images/HumidifierFragment_3,Frost Control,ThermostatSettingsActivity,Dynamic,
