xpath,type,status,NextFrame,PreviousFrame,ElementImage,ElementText,CallerActivity,Tag,Operation
//android.widget.ImageButton,ImageButton,Complete,,SensorSelectorFragment,C:/Experimental/src/rsc/images/SmartHomeAwayFragment_0,,ThermostatSettingsActivity,,
//android.widget.RadioButton[@text= 'Enable'],RadioButton,Complete,,SensorSelectorFragment,C:/Experimental/src/rsc/images/SmartHomeAwayFragment_1,Enable,ThermostatSettingsActivity,,
//android.widget.RadioButton[@text= 'Disable'],RadioButton,Complete,,SensorSelectorFragment,C:/Experimental/src/rsc/images/SmartHomeAwayFragment_2,Disable,ThermostatSettingsActivity,Dynamic,NetworkCall
